threshold,precision,recall,f1,f2,false_alarm_rate,threats_detected,threats_missed,benign_false_alarms,benign_correct
0.1,0.5289861169541439,0.9836963324571285,0.6879985992711833,0.8393903305224594,0.4359066203609973,31435,521,27990,36221
0.11,0.5404669595933489,0.9815371135311053,0.6970919314153637,0.8438117067239144,0.4153338213078756,31366,590,26669,37542
0.12,0.5505924608694122,0.9785955689072474,0.7046973060065576,0.8469242393877187,0.3975175592966937,31272,684,25525,38686
0.13,0.5605703702371747,0.9755601451996495,0.7120099578618004,0.8497467795482918,0.3805889956549501,31175,781,24438,39773
0.14,0.570669949652714,0.9718675679058706,0.7190951399661951,0.8520625967099416,0.363878463191665,31057,899,23365,40846
0.15,0.5798424901556347,0.9676743021654776,0.7251600497150763,0.853500336730075,0.34895890112286054,30923,1033,22407,41804
0.16,0.5882263084531516,0.9640130178996119,0.7306319446914986,0.8547961930131247,0.33584588310414104,30806,1150,21565,42646
0.17,0.5965714508094645,0.9594129427963449,0.7356865191726256,0.855364476386037,0.3228886016414633,30659,1297,20733,43478
0.18,0.6044889954238396,0.9548754537489047,0.7403166130891005,0.8556782555537484,0.31092803413745307,30514,1442,19965,44246
0.19,0.6140950455005055,0.9502753786456377,0.746062943763359,0.8564989789816894,0.29719206989456637,30367,1589,19083,45128
0.2,0.623832162050434,0.944454875453749,0.7513692491535551,0.8564221016549,0.28342495834047127,30181,1775,18199,46012
0.21,0.6318405864262544,0.9386656652897735,0.755281379831298,0.8555716551244167,0.2721963526498575,29996,1960,17478,46733
0.22,0.6429435135602004,0.9317811991488296,0.7608728982470486,0.8549639362337483,0.25752596907071995,29776,2180,16536,47675
0.23,0.6542739398236362,0.924083114282138,0.7661175249708133,0.8536754587819008,0.24301132204762424,29530,2426,15604,48607
0.24,0.6638537589647293,0.9182313180623357,0.7705923290045564,0.8528702223514024,0.23139337496690598,29343,2613,14858,49353
0.25,0.6755941329372447,0.910940042558518,0.7758115239059752,0.8516078449728516,0.2176885580352276,29110,2846,13978,50233
0.26,0.6849175269965587,0.9030854925522593,0.7790149950736257,0.848998876199554,0.20675585180109327,28859,3097,13276,50935
0.27,0.6951987358696974,0.8948867192389536,0.7825040018606942,0.8462703969602093,0.19526249396520845,28597,3359,12538,51673
0.28,0.7056657294284505,0.8874702716234822,0.7861944694712039,0.8439823108926096,0.18422077214184485,28360,3596,11829,52382
0.29,0.7154672231270358,0.879803479784704,0.789170830292483,0.8411620392532312,0.17412904331033624,28115,3841,11181,53030
0.3,0.7279369402398785,0.8698522969082488,0.7925921701690856,0.8372086018914523,0.1617947080718257,27797,4159,10389,53822
0.31,0.737144383598237,0.8635311052697459,0.7953480998976813,0.8349015787339873,0.1532447711451309,27595,4361,9840,54371
0.32,0.7458019214544267,0.8575228439103768,0.7977699820958093,0.8325788280761027,0.1454579433430409,27403,4553,9340,54871
0.33,0.7544044613378464,0.85088872199274,0.7997470551037515,0.8296667419309562,0.1378579994082011,27191,4765,8852,55359
0.34,0.7617554858934169,0.8440668419076229,0.8008016032064128,0.8262116116226498,0.1313793586768622,26973,4983,8436,55775
0.35,0.7697324943252019,0.8383089247715609,0.8025584565376953,0.8236332220357013,0.12480727601189827,26789,5167,8014,56197
0.36,0.7779372985643129,0.8308611841281762,0.8035287352843264,0.8197080652530966,0.11803273582407998,26551,5405,7579,56632
0.37,0.7854778589533323,0.8242896482663663,0.8044158739368769,0.8162234520541154,0.1120368784164707,26341,5615,7194,57017
0.38,0.7921392612361254,0.8173738890975091,0.8045587555829354,0.8121991567059291,0.10674183551104952,26120,5836,6854,57357
0.39,0.7989071713024419,0.8098322693703843,0.8043326236615954,0.8076234107491714,0.10144679260562832,25879,6077,6514,57697
0.4,0.8052241617480849,0.8026035799223933,0.8039117352056169,0.8031263308199104,0.09661895936833254,25648,6308,6204,58007
0.41,0.8120005114762483,0.7948742020277882,0.8033460893766406,0.7982414239563561,0.0915886686081824,25401,6555,5881,58330
0.42,0.8184684391861146,0.7879897358868444,0.8029399572717707,0.7939025159215587,0.08697886654934513,25181,6775,5585,58626
0.43,0.8243198626518753,0.7812930279133808,0.8022299338088812,0.7895352661404574,0.08286742146984162,24967,6989,5321,58890
0.44,0.8300765511684126,0.773657529102516,0.8008746355685131,0.7843193238921882,0.07881827101275482,24723,7233,5061,59150
0.45,0.8360566263005288,0.7669608211290524,0.8000195851218358,0.7798509599781086,0.07484698883368893,24509,7447,4806,59405
0.46,0.8420613684539736,0.7582926523970459,0.7979846212108739,0.7736859917880473,0.07078226472099795,24232,7724,4545,59666
0.47,0.8478475652787579,0.7519088747027163,0.7970014594666313,0.7693194334161523,0.06715360296522403,24028,7928,4312,59899
0.48,0.8533299896105757,0.7453686318688196,0.7957039536320968,0.764718724516332,0.06375854604351279,23819,8137,4094,60117
